Region,Node Name,Uplink,Uplink_NMS,Trunk,Trunk_NMS,OM,OM_NMS,SIP,SIP_NMS,HSI,HSI_NMS,IPOE,IPOE_NMS,SIGNALING,SIGNALING_NMS,MEDIA,MEDIA_NMS,Auth IP,Auth IP_NMS,UnAuth IP,UnAuth IP_NMS
NCR,100WST-LSA01-001-NCR7603-A1,nan,ERMITA-NCR761-TRS_DC_AG-R6-03,nan,GigabitEthernet2/1/1,nan,3944,3017,"2487
3017",,"88
438
502
504
514
518
523
535
538
561
564
574
575
584
594
596
599
603
604
606
611
616
619
623
627
631
632
672
680
723
746
760
764
765
775
778
780
782
789
803
819
823
826
829
831
832
836
837
860
876
890
908
920
921
922
925
932
935
936
937
938
951
959
965
972
975
977
981
983
984
988
989
994
1010
1015
1028
1032
1034
1049
1058
1080
1099
1113
1172
1181
1208
1219
1251
1275
1412
1417
1464
1466
1476
1509
1511
1541
1562
1564
1565
1574
1576
1580
1583
1610
1616
1618
1620
1623
1624
1631
1633
1634
1635
1636
1639
1643
1645
1649
1651
1660
1668
1669
1676
1682
1683
1694
1707
1724
1751
1778
1784
1785
1834
1854
1855
1870
1874
1884
1888
1911
1929
1965
1966
1975
1980
1997
2429
2488
3011
3012
3018
3333
3533
4063",400,-,nan,,nan,,nan,-,nan,-
VIS,1FNTCH-LSA04-001-VIS4083,nan,JMBASA-VIS927-TRS_DC_AG-R1-01,nan,GigabitEthernet1/1/1,nan,3675,3141,"3141
22310",,"525
558
568
569
571
588
590
596
657
684
686
687
722
730
766
811
812
815
838
901
913
915
920
945
976
982
984
998
999
1001
1007
1008
1020
1028
1050
1069
1086
1111
1114
1123
1128
1129
1132
1223
1228
1251
1316
1328
1354
1378
1402
1457
1515
1578
1590
1594
1625
1650
1659
1666
1697
1732
1736
1765
1793
1795
1806
1816
1822
1834
1846
1860
1887
1888
1893
1895
1921
1939
1940
1979
1990
2323
2671
2998
3142
3272
3372",405,N/A,nan,,nan,,nan,10.199.112.0/20,nan,10.202.52.0/22
NCR,25SVEN-LSA01-001-NCR7230-A1,nan,VALERO-NCR733-AGGFMN-X16A-01,nan,Eth-Trunk9||50|100GE4/0/0(100G),nan,3978,2209,"1783
1997
2209
2219
2221
2227
2241
2245
2247
2253
2275
2310
2376
2382
2421
2441
2461
2927
3025
3029
3037
3051
3695",,"506
507
562
569
585
672
673
692
708
713
717
723
743
761
777
780
791
792
793
829
831
843
866
878
889
891
912
966
971
977
992
996
1009
1015
1018
1047
1064
1077
1078
1081
1098
1107
1108
1136
1139
1142
1176
1178
1182
1184
1201
1203
1204
1205
1212
1217
1228
1234
1236
1248
1252
1253
1255
1266
1279
1285
1287
1296
1303
1311
1332
1334
1347
1352
1357
1367
1369
1374
1411
1432
1434
1443
1447
1453
1457
1459
1461
1475
1476
1480
1484
1489
1499
1501
1507
1510
1521
1523
1524
1530
1531
1549
1550
1564
1569
1572
1575
1587
1622
1636
1639
1645
1647
1649
1652
1653
1655
1658
1661
1668
1670
1671
1676
1677
1678
1682
1687
1694
1708
1722
1731
1741
1749
1751
1757
1767
1778
1780
1800
1806
1814
1822
1825
1830
1845
1848
1850
1852
1853
1863
1864
1867
1873
1874
1875
1879
1883
1884
1890
1893
1905
1926
1933
1934
1936
1939
1942
1959
1967
1979
1980
1992
1999
2210
2216
2242
2246
2248
2254
2274
2280
2281
2311
2320
2377
2383
2427
2440
2462
2482
2878
3026
3030
3038
3052
3142
3302
3691",nan,400,nan,,nan,,nan,10.105.72.0/21,nan,10.205.162.0/23
NCR,ADMGRD-LSA04-001-NCR7704,nan,ADMIRALHTLMLANCRID_TDCAN_T980C_01_NCR10123,nan,GigabitEthernet0/3/1,nan,-,2239,N/A,,2240,400,N/A,nan,,nan,,nan,10.106.0.0/22,nan,10.205.208.0/24
NCR,AFTWER-LSA06-001-NCR8661,nan,ALVEOFNCETWRMKTNCRID_TDCAN_T980C_01_NCR8661,nan,GigabitEthernet0/3/2,nan,-,3127,N/A,,3128,400,N/A,nan,,nan,,nan,-,nan,-
SLZ,ALF_702_HYB_01,ATN910C,ALF-702-SL1628-ATN910C-01,ALF-702-SL1628-ATN910C-01-Eth-Trunk3,Eth-Trunk3||GE0/2/4(10G)|GE0/2/5(10G),358,N/A,362,N/A,748,N/A,400,N/A,nan,,nan,,10.60.160.0/20,N/A,10.75.152.0/22,10.75.152.0/24
SLZ,ALF_703_VDB_01,ATN910C-B,ALF-703-SL1627-ATN910C-01,ALF-703-SL1627-ATN910C-01-Eth-Trunk3,Eth-Trunk3||GE0/2/4(10G)|GE0/2/5(10G),151,N/A,362,N/A,748,N/A,400,N/A,-,,-,,100.92.184.128/25,100.92.184.0/22,100.119.42.224/27,N/A
NCR,ALPPLA-LSA01-001-NCR3517,nan,VALERO-NCR733-AGGFMN-X16A-01,nan,Eth-Trunk9||50|100GE4/0/0(100G),nan,3978,2481,"1783
1997
2209
2219
2221
2227
2241
2245
2247
2253
2275
2310
2376
2382
2421
2441
2461
2927
3025
3029
3037
3051
3695",,"506
507
562
569
585
672
673
692
708
713
717
723
743
761
777
780
791
792
793
829
831
843
866
878
889
891
912
966
971
977
992
996
1009
1015
1018
1047
1064
1077
1078
1081
1098
1107
1108
1136
1139
1142
1176
1178
1182
1184
1201
1203
1204
1205
1212
1217
1228
1234
1236
1248
1252
1253
1255
1266
1279
1285
1287
1296
1303
1311
1332
1334
1347
1352
1357
1367
1369
1374
1411
1432
1434
1443
1447
1453
1457
1459
1461
1475
1476
1480
1484
1489
1499
1501
1507
1510
1521
1523
1524
1530
1531
1549
1550
1564
1569
1572
1575
1587
1622
1636
1639
1645
1647
1649
1652
1653
1655
1658
1661
1668
1670
1671
1676
1677
1678
1682
1687
1694
1708
1722
1731
1741
1749
1751
1757
1767
1778
1780
1800
1806
1814
1822
1825
1830
1845
1848
1850
1852
1853
1863
1864
1867
1873
1874
1875
1879
1883
1884
1890
1893
1905
1926
1933
1934
1936
1939
1942
1959
1967
1979
1980
1992
1999
2210
2216
2242
2246
2248
2254
2274
2280
2281
2311
2320
2377
2383
2427
2440
2462
2482
2878
3026
3030
3038
3052
3142
3302
3691",451,400,nan,,nan,,nan,10.105.72.0/21,nan,10.205.162.0/23
NLZ,ALPRCM-LSA07-001-NL3537,nan,ALVIERAPORACPAM_TDCAN_T980C_R5R8_01_NL3537,nan,GigabitEthernet0/4/1,nan,-,3133,,,N/A,400,N/A,nan,,nan,,nan,10.239.0.0/20,nan,10.246.56.0/22
SLZ,AMCINL-LSA07-001-SL1749,nan,AMCIN-SL1749-TRS_DC_AN-R5R5_L1LTE-01,nan,GigabitEthernet0/2/1,nan,-,3657,N/A,,3647,401,N/A,nan,,nan,,nan,10.55.32.0/20,nan,10.191.248.0/22
