AREA,AGG HOMING,PORT,BNG HOMING,BNG PORT,
MIN,ALWANA-FMAGG-001-MIN1092,100GE1/1/16,CDO_CDO_BNG_002,ET-5/1/0,
MIN,ALWANA-FMAGG-002-MIN1092,100GE1/1/17,CDO_CDO_BNG_002,ET-10/3/0,
MIN,ALWANA-FMAGG-001-MIN1092,100GE2/0/20,CDO_CDO_CGN_003_IPOE,ET-1/0/2,
MIN,ALWANA-FMAGG-002-MIN1092,100GE2/0/20,CDO_CDO_CGN_003_IPOE,ET-11/0/2,
MIN,ALWANA-FMAGG-001-MIN1092,100GE2/0/21,CDO_CDO_CGN_003_IPOE,ET-1/1/2,
MIN,ALWANA-FMAGG-002-MIN1092,100GE2/0/21,CDO_CDO_CGN_003_IPOE,ET-11/1/2,
NLZ,CBNTN1-FMAGG-001-NL1115,100GE1/1/16,CBN_CBN_BNG_001,ET-5/1/0,
NLZ,CBNTN1-FMAGG-002-NL1115,100GE1/1/16,CBN_CBN_BNG_001,ET-10/3/0,
NLZ,CBNTN1-FMAGG-001-NL1115,100GE2/1/8,CBN_CBN_BNG_002,ET-5/1/0,
NLZ,CBNTN1-FMAGG-002-NL1115,100GE2/1/9,CBN_CBN_BNG_002,ET-10/3/0,
MIN,CDO-MIN1092-AGGFN-X8-01,GigabitEthernet1/0/0,CDO_BNG-001,XE-0/1/1,
MIN,CDO-MIN1092-AGGFN-X8-01,GigabitEthernet1/0/1,CDO_BNG-001,XE-5/1/1,
MIN,CDO-MIN1092-AGGFN-X8-01,GigabitEthernet1/0/2,CDO_BNG-001,XE-7/1/1,
MIN,CDO-MIN1092-AGGFN-X8-01,GigabitEthernet7/1/2,CDO_BNG-001,XE-0/0/1,
MIN,CDO-MIN1092-AGGFN-X8-01,GigabitEthernet7/1/3,CDO_BNG-001,XE-5/0/1,
MIN,CDO-MIN1092-AGGFN-X8-01,GigabitEthernet7/1/0,CDO_BNG-001,XE-7/0/1,
MIN,CDO-MIN1092-AGGFN-X8-01,GigabitEthernet7/1/1,CDO_BNG-001,XE-11/0/1,
MIN,CDO-MIN1092-AGGFN-X8-02,GigabitEthernet1/0/4,CDO_BNG-001,XE-11/1/1,
MIN,CDO-MIN1092-AGGFMN-X16A-02,GigabitEthernet16/0/5,CDO_BNG-001,XE-3/0/1,
MIN,CDO-MIN1092-AGGFMN-X16A-02,GigabitEthernet16/0/6,CDO_BNG-001,XE-5/3/1,
MIN,CDO-MIN1092-AGGFMN-X16A-02,GigabitEthernet16/1/10,CDO_BNG-001,XE-11/3/1,
MIN,CDO-MIN1092-AGGFMN-X16A-02,GigabitEthernet16/1/11,CDO_BNG-001,XE-3/1/1,
VIS,LAHUG-VIS148-AGGFMN-X16A-01,100GE2/0/0,CEB_LHG_BNG_003,ET-10/1/0,
VIS,LAHUG-VIS148-AGGFMN-X16A-02,100GE5/0/1,CEB_LHG_BNG_003,ET-5/3/0,
NCR,CANMSC-FMAGG-001-NCR1387,100GE1/1/16,CLC_CNR_BNG_002,ET-5/1/0,
NCR,CANMSC-FMAGG-002-NCR1387,100GE1/1/17,CLC_CNR_BNG_002,ET-10/3/0,
NCR,CANERO-NCR1387-AGGFMN-X16A-01,100GE5/0/0,CNR_BNG-001,ET-5/3/0,
NCR,CANERO-NCR1387-AGGFMN-X16A-02,100GE5/0/0,CNR_BNG-001,ET-10/3/0,
SLZ,CRMMSC-FMAGG-001-SL590,100GE1/1/16,CMO_CRM_BNG_001,ET-5/1/0,
SLZ,CRMMSC-FMAGG-002-SL590,100GE1/1/16,CMO_CRM_BNG_001,ET-10/3/0,
MIN,DAVCLS-FMAGG-001-MIN2031,100GE1/1/16,DVO_DVO_BNG_001,ET-5/1/0,
MIN,DAVCLS-FMAGG-002-MIN2031,100GE1/1/17,DVO_DVO_BNG_001,ET-10/3/0,
MIN,DAVCLS-FMAGG-001-MIN2031,100GE1/1/2,DVO_DVO_CGN_002_IPOE,ET-1/0/2,
MIN,DAVCLS-FMAGG-002-MIN2031,100GE1/1/2,DVO_DVO_CGN_002_IPOE,ET-11/0/2,
MIN,DAVCLS-FMAGG-001-MIN2031,100GE1/1/3,DVO_DVO_CGN_002_IPOE,ET-1/1/2,
MIN,DAVCLS-FMAGG-002-MIN2031,100GE1/1/3,DVO_DVO_CGN_002_IPOE,ET-11/1/2,
SLZ,GENTRIAS-SL2807-AGGFMN-X16A-01,100GE2/0/0,GTS_BNG-001,ET-5/1/0,
SLZ,GENTRIAS-SL2807-AGGFMN-X16A-02,100GE5/0/0,GTS_BNG-001,ET-10/3/0,
VIS,JMBASA-VIS927-AGGFMN-X16A-01,100GE4/0/0,JMB_BNG-001,ET-10/1/0,
VIS,JMBASA-VIS927-AGGFMN-X16A-02,100GE3/0/0,JMB_BNG-001,ET-5/3/0,
VIS,LAHUG-VIS148-AGGFMN-X16A-01,GigabitEthernet15/1/5,LHG_BNG-001,XE-2/1/1,
VIS,LAHUG-VIS148-AGGFMN-X16A-01,GigabitEthernet15/1/6,LHG_BNG-001,XE-10/1/1,
VIS,LAHUG-VIS148-AGGFMN-X16A-01,GigabitEthernet8/1/10,LHG_BNG-001,XE-2/0/1,
VIS,LAHUG-VIS148-AGGFMN-X16A-01,GigabitEthernet8/1/11,LHG_BNG-001,XE-10/0/1,
VIS,LAHUG-VIS148-AGGFN-X8-01,GigabitEthernet8/0/1,LHG_BNG-001,XE-0/0/1,
VIS,LAHUG-VIS148-AGGFN-X8-01,GigabitEthernet8/0/2,LHG_BNG-001,XE-11/1/1,
VIS,LAHUG-VIS148-AGGFN-X8-01,GigabitEthernet8/0/3,LHG_BNG-001,XE-5/0/1,
VIS,LAHUG-VIS148-AGGFN-X8-01,GigabitEthernet8/0/4,LHG_BNG-001,XE-0/1/1,
VIS,LAHUG-VIS148-AGGFN-X8-02,GigabitEthernet3/1/0,LHG_BNG-001,XE-7/0/1,
VIS,LAHUG-VIS148-AGGFN-X8-02,GigabitEthernet3/1/1,LHG_BNG-001,XE-5/1/1,
