Region,Node Name,Uplink,Trunk,OM,SIP,HSI,IPOE,H248,RTP,AG1,AG2,Auth IP,UnAuth IP,OM VCID,SIP VCID,HSI VCID,HSI AGG,HSI Interface,BNG,BNG Port,HSI VSI,SIP IP,SIP AGG,SIP Interface,SIP VSI
MIN,ALR_001_GPONA_01,ALORAN-MIN297-TRS_DC_MAN-R6R6_L97-01,Eth-Trunk7||GE0/1/1(10G),3595,4019,3190,400,-,-,10.175.0.49,10.175.0.47,10.56.0.0/22,10.74.0.0/24,25006814|26006814,25006815|26006815,25006816|26006816,ALWANA-FMAGG-001-MIN1092,100GE1/1/16.3190,CDO_CDO_BNG_002,ET-5/1/0,HSI-90003190,100.67.144.0/20,ALWANA-FMAGG-001-MIN1092,VE1/0/0.4019,SIP-90004019
MIN,ALU_001_GPONA_01,ALUBIJ-MIN331-TRS_DC_MAN-R0R1_L69-01,Eth-Trunk1||GE0/1/2(10G)|GE0/2/2(10G),3230,3543,3564,400,-,-,10.175.0.2,10.175.0.7,100.104.56.0/22,100.124.14.0/24,25004377|26004377,25004378|26004378,25004379|26004379,-,-,-,-,-,100.100.128.0/21,ALWANA-FMAGG-001-MIN1092,VE1/0/0.3543,SIP-90003543
MIN,ALU_001_GPONA_02,ALUBIJ-MIN331-TRS_DC_MAN-R0R1_L69-01,Eth-Trunk7||GE0/2/3(10G),733,3068,3069,400,-,-,10.175.0.2,10.175.0.7,10.160.96.0/22,10.196.216.0/24,25007490|26007490,25007491|26007491,25007492|26007492,BTN-FMAGG-001-MIN1347,100GE1/0/31.3069,BTN_BTN_CGN_001_IPOE,ET-1/0/2,HSI-90003069,100.95.192.0/20,ALWANA-FMAGG-002-MIN1092,VE1/0/0.3068,SIP-90003068
MIN,AUR_001_GPONA_01,AURORA_TDCAN_T950D_01_MIN790,Eth-Trunk1||GE0/3/2(10G),3236,3549,3565,400,-,-,10.175.0.45,10.175.0.2,10.45.228.0/22,10.190.249.0/24,25004383|26004383,25004384|26004384,25004385|26004385,DAVCLS-FMAGG-001-MIN2031,100GE1/1/16.3565,DVO_DVO_BNG_001,ET-5/1/0,HSI-90003565,100.100.16.0/20,ALWANA-FMAGG-001-MIN1092,VE1/0/0.3549,SIP-90003549
MIN,AUR_001_GPONA_02,AURORA_TDCAN_T950D_01_MIN790,Eth-Trunk2||GE0/4/1(10G),3596,3513,3730,400,-,-,10.175.0.45,10.175.0.2,10.56.4.0/22,10.74.1.0/24,25007161|26007161,25007162|26007162,25007163|26007163,ALWANA-FMAGG-002-MIN1092,100GE2/0/20.3730,CDO_CDO_CGN_003_IPOE,ET-11/0/2,HSI-90003730,100.101.224.0/20,ALWANA-FMAGG-001-MIN1092,VE1/0/0.3513,SIP-90003513
MIN,BCO_001_GPONA_01,BACOLD-MIN649-TRS_DC_MAN-R0R6_L47-01,Eth-Trunk7||GE0/1/1(10G),3596,3708,3731,400,-,-,10.175.0.2,10.175.0.45,10.56.8.0/22,10.74.2.0/24,25007146|26007146,25007147|26007147,25007148|26007148,ALWANA-FMAGG-002-MIN1092,100GE2/0/20.3731,CDO_CDO_CGN_003_IPOE,ET-11/0/2,HSI-90003731,100.103.64.0/20,ALWANA-FMAGG-002-MIN1092,VE1/0/0.3708,SIP-90003708
MIN,BGN_001_GPONA_01,RBAGAN_TDCAN_T980C_01_MIN210,Eth-Trunk4||GE0/4/1(10G)|GE0/4/2(10G),3594,3535,893,400,-,-,10.175.0.33,10.175.0.32,10.56.12.0/22,10.74.3.0/24,25005588|26005588,26005589,25005590|26005590,ALWANA-FMAGG-001-MIN1092,100GE2/0/20.893,CDO_CDO_CGN_003_IPOE,ET-1/0/2,HSI-90000893,100.100.192.0/21,DAVCLS-FMAGG-001-MIN2031,VE1/0/0.3535,SIP-90003535
MIN,BIO_001_GPONA_01,BLING1_TDCAN_T980C_01_MIN1237,Eth-Trunk7||GE0/3/1(10G),733,3297,3296,400,-,-,10.175.0.3,10.175.0.41,10.6.220.0/22,10.7.37.0/24,25008474|26008474,25008475|26008475,25008476|26008476,ALWANA-FMAGG-001-MIN1092,100GE1/1/16.3296,CDO_CDO_BNG_002,ET-5/1/0,HSI-90003296,10.56.136.0/21,ALWANA-FMAGG-001-MIN1092,VE1/0/0.3297,SIP-90003297
MIN,BLI_001_GPONA_01,BLNGSG_TDCAN_T980C_01_MIN725,Eth-Trunk7||GE0/3/2(10G)|GE0/4/2(10G),3230,3543,3564,400,-,-,10.175.0.3,10.175.0.41,10.45.140.0/22,10.190.227.0/24,25004395|26004395,25004396|26004396,25004397|26004397,-,-,-,-,-,100.100.128.0/21,ALWANA-FMAGG-001-MIN1092,VE1/0/0.3543,SIP-90003543
MIN,BNG_001_GPONA_01,BANGA_TDCAN_T980C_01_MIN754,Eth-Trunk7||GE0/3/1(10G)|GE0/7/0(10G),1200,3732,3734,400,-,-,10.175.0.64,10.175.0.65,10.56.16.0/22,10.74.4.0/24,25007670|26007670,25007671|26007671,25007672|26007672,BTN-FMAGG-002-MIN1347,100GE2/0/4.3734,BTN_BTN_CGN_001_IPOE,ET-11/1/2,HSI-90003734,100.103.96.0/19,DAVCLS-FMAGG-002-MIN2031,VE1/0/0.3732,SIP-90003732
