Region,HSI AGG,HSI Interface,StatusPhysical,StatusProtocol,Description,HSI VLAN,BNG,BNG Port,HSI VSI
NLZ,CBNTN1-FMAGG-001-NL1115,100GE1/1/16.30,up,up,"To MKT-000-HS/MKT-000-VVHS/MKT16-G - CRM BNG 01 5/1/0  TEST-VLAN DATA
",30,CBN_CBN_BNG_001,ET-5/1/0,HSI-60000030
NLZ,CBNTN1-FMAGG-001-NL1115,100GE1/1/16.337,up,up,"***To::CBN_BNG_001-ET-5/1/0:337***
",337,CBN_CBN_BNG_001,ET-5/1/0,HSI-337
NLZ,CBNTN1-FMAGG-001-NL1115,100GE1/1/16.365,up,up,"***To::CBN_BNG_001-ET-5/1/0:365***
",365,CBN_CBN_BNG_001,ET-5/1/0,HSI-365
NLZ,CBNTN1-FMAGG-001-NL1115,100GE1/1/16.369,up,up,"***To::CBN_BNG_001-ET-5/1/0:369***
",369,CBN_CBN_BNG_001,ET-5/1/0,HSI-369
NLZ,CBNTN1-FMAGG-001-NL1115,100GE1/1/16.373,up,up,"***To::CBN_BNG_001-ET-5/1/0:373***
",373,CBN_CBN_BNG_001,ET-5/1/0,HSI-373
NLZ,CBNTN1-FMAGG-001-NL1115,100GE1/1/16.377,up,up,"***To::CBN_BNG_001-ET-5/1/0:377***
",377,CBN_CBN_BNG_001,ET-5/1/0,HSI-377
NLZ,CBNTN1-FMAGG-001-NL1115,100GE1/1/16.388,up,up,"***To::CBN_BNG_001-ET-5/1/0:388***
",388,CBN_CBN_BNG_001,ET-5/1/0,HSI-388
NLZ,CBNTN1-FMAGG-001-NL1115,100GE1/1/16.513,up,up,"***To::CBN_BNG_001-ET-5/1/0:513***
",513,CBN_CBN_BNG_001,ET-5/1/0,HSI-513
NLZ,CBNTN1-FMAGG-001-NL1115,100GE1/1/16.521,up,up,"***To::CBN_BNG_001-ET-5/1/0:521***
",521,CBN_CBN_BNG_001,ET-5/1/0,HSI-521
NLZ,CBNTN1-FMAGG-001-NL1115,100GE1/1/16.533,up,up,"***To::CBN_BNG_001-ET-5/1/0:533***
",533,CBN_CBN_BNG_001,ET-5/1/0,HSI-533
NLZ,CBNTN1-FMAGG-001-NL1115,100GE1/1/16.537,up,up,"***To::CBN_BNG_001-ET-5/1/0:537***
",537,CBN_CBN_BNG_001,ET-5/1/0,HSI-537
NLZ,CBNTN1-FMAGG-001-NL1115,100GE1/1/16.541,up,up,"***To::CBN_BNG_001-ET-5/1/0:541***
",541,CBN_CBN_BNG_001,ET-5/1/0,HSI-541
