Region,SIP AGG,SIP Interface,StatusPhysical,StatusProtocol,Description,SIP VLAN,SIP VSI,SIP IP
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.135,up,up,"MAL-HM-LR01 (FIO-MALHMLR01_FMC) - SIP
",135,SIP-135,100.115.136.0/21
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.253,up,up,"SRF-SMR-HM-02 (FIO-SRFSMRHM02_FMC) - SIP
",253,SIP-253,100.127.0.0/20
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.291,up,up,"CBN-HM-02 (FIO-CBNHM02_FMC) - SIP
",291,SIP-291,100.124.32.0/21
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.311,up,up,"MAL-EM-03 (FIO-MALEM03_FMC) - SIP
",311,SIP-311,100.126.148.0/22
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.315,up,up,"GPN-HM-01 (FIO-GPNHM01_FMC) - SIP
",315,SIP-315,100.115.144.0/21
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.437,up,up,"SMR-EM-02 (FIO-SMREM02_FMC) - SIP
",437,SIP-437,100.117.104.0/22
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.697,up,up,SIP-697,697,SIP-697,10.19.20.0/22
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.707,up,up,"MAL-EM-03 (FIO-MALEM03_FMC) - SIP
",707,SIP-707,100.115.152.0/21
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.737,up,up,SIP-737,737,SIP-737,10.19.64.0/22
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.795,up,up,SIP-795,795,SIP-795,100.110.152.0/21
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.819,up,up,SIP-819,819,SIP-819,10.18.248.0/22
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.831,up,up,SIP-831,831,SIP-831,100.107.208.0/21
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.839,up,up,SIP-839,839,SIP-839,100.107.168.0/22
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.845,up,up,SIP-845,845,SIP-845,100.107.220.0/22
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.887,up,up,"SRF-SMR-HM-03 (FIO-SRFSMRHM03_FMC) - SIP
",887,SIP-887,100.117.108.0/22
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.1721,up,up,SIP-1721,1721,SIP-1721,100.107.172.0/23
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.1885,up,up,SIP-1885,1885,SIP-1885,100.107.31.0/24
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.1893,up,up,SIP-1893,1893,SIP-1893,100.105.157.0/24
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.1905,up,up,SIP-1905,1905,SIP-1905,100.105.152.0/23
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.1907,up,up,SIP-1907,1907,SIP-1907,100.111.126.0/23
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.1911,up,up,SIP-1911,1911,SIP-1911,10.15.192.0/22
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.1913,up,up,SIP-1913,1913,SIP-1913,100.108.124.0/22
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.1915,up,up,SIP-1915,1915,SIP-1915,100.107.160.0/21
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.1933,up,up,"OLT SDF_001_GPONA_01 (FIO-BLGGPNHM01FTTx_FMC) - SIP
",1933,SIP-50001933,100.71.0.0/21
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.1941,up,up,"MAL-ACA-HM-01 (FIO-MALACAHM01_FMC) - SIP
",1941,SIP-50001941,100.125.240.0/20
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.1949,up,up,"CBN_EM_05 (FIO-CBNEM05_FMC) - SIP
",1949,SIP-50001949,100.71.64.0/20
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.1953,up,up,"OLT SMG_003_GPONA_01 (FIO-BLGGPNHM02_FMC) - SIP
",1953,SIP-50001953,100.71.160.0/20
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.1957,up,up,"MINI OLT MRL_002_GPONA_02 (FIO-MARILAOHM01FTTX_FMC)  - SIP
",1957,SIP-50001957,100.68.224.0/20
NLZ,CBNTN1-FMAGG-001-NL1115,VE1/0/0.1959,up,up,"OLT BGT_701_HYB_01 (FIO-MALACAHM02_FMC) - SIP
",1959,SIP-50001959,100.69.0.0/19
